plot_cell_id f_hmax f_hmin f_hstd f_hmed f_hmean f_abs_n f_hskew f_hkurt f_intmax f_intmin f_intstd f_intmed f_intmean f_intskew f_intkurt f_h20 f_h40 f_h60 f_h80 f_int20 f_int40 f_int60 f_int80 f_d2 f_d4 f_echo_prop l_hmax l_hmin l_hstd l_hmed l_hmean l_abs_n l_hskew l_hkurt l_intmax l_intmin l_intstd l_intmed l_intmean l_intskew l_intkurt l_h20 l_h40 l_h60 l_h80 l_int20 l_int40 l_int60 l_int80 l_d2 l_d4 l_echo_prop a_hmax a_hmin a_hstd a_hmed a_hmean a_abs_n a_hskew a_hkurt a_intmax a_intmin a_intstd a_intmed a_intmean a_intskew a_intkurt a_h20 a_h40 a_h60 a_h80 a_int20 a_int40 a_int60 a_int80 a_d2 a_d4 i_abs_n i_hmean i_hstd i_echo_prop Rmax Rmin Rstd Rmean Gmax Gmin Gstd Gmean Bmax Bmin Bstd Bmean Nmax Nmin Nstd Nmean
9564 7.47 1.3 1.3336 3.62 3.6394 1590 0.1674 2.2101 50942 21102 6608.0497 40216 38494.1035 -0.6505 2.4301 2.314 3.198 4.03 4.87 32046 38223.6 41749.4 44489.2 0.5025 0.7648 75.7426 7.15 1.36 1.3522 3.59 3.6052 1590 0.1844 2.0777 50942 22216 5852.7998 44105 42062.2913 -1.6638 5.1106 2.26 3.088 3.984 4.946 39735.4 43370.8 44673 46074.8 0.822 0.917 27.4752 7.47 1.3 1.3199 3.39 3.4479 2526 0.3126 2.2594 50942 21102 6751.758 39047.5 37554.6097 -0.5053 2.251 2.142 2.89 3.78 4.68 31019 36677 40722.8 43842 0.6033 0.8333 227 2.8437 1.0795 16.0891 889 363.6 105.1793 596.9632 1241.2 681.2 113.703 940.8505 1301.2 1009.6 56.7947 1156.5083 3386.4 1011.6 485.3157 2276.0229
9565 12.06 1.36 1.8 7.14 6.9099 1576 -0.7882 3.8338 49413 21364 6137.6803 39801 38258.4819 -0.7561 2.6985 5.626 6.77 7.54 8.34 32614 38009.8 41347.6 43558 0.1409 0.1853 66.1884 11.37 1.33 1.8425 7.25 6.9626 1591 -0.7431 3.2988 49413 21604 6223.1357 42117 39966.708 -1.1944 3.5049 5.45 6.87 7.7 8.43 35410 40893 43034 44716 0.5883 0.6191 31.6117 12.06 1.31 1.9794 6.57 6.3255 3047 -0.5157 2.867 49413 20993 6615.8672 37486 36308.6131 -0.3759 2.0913 4.84 6.09 7.04 8.01 29621 35214 39233 42575 0.3351 0.404 501 5.0172 1.8301 23.099 728.4 371 77.8593 551.9486 1152.4 683 84.8314 890.3592 1263 1004 50.2043 1137.3688 3689 1192.2 404.8593 2250.0383
9566 10.25 1.3 1.8176 4.38 4.5 1709 0.4002 2.6234 50658 21386 6906.6779 40020 38303.2988 -0.6479 2.4032 2.81 3.91 4.84 6.11 31609 38010 41723 44498 0.4236 0.6372 72.3649 10.02 1.33 1.6906 4.91 4.9783 1690 0.1342 2.8169 50658 22216 6481.4959 43449 41353.245 -1.273 3.6778 3.53 4.528 5.406 6.36 36891.4 42492.4 44629 46355 0.7722 0.8296 27.2973 10.25 1.3 1.7728 4.19 4.3101 2797 0.4734 2.6964 50658 21167 7007.0943 38447 37050.5291 -0.3991 2.0891 2.62 3.67 4.62 5.86 29857.6 35956 40216 43562.4 0.5198 0.7168 284 3.4473 1.467 18.4459 886 337.8 120.5106 569.2332 1228.6 657.2 127.5389 918.7884 1340.8 1006.4 64.9391 1150.0999 3453.2 918.8 545.9438 2098.3128
9575 21.26 1.3 4.2717 14.31 13.2553 1827 -1.2732 3.9281 50658 21626 6214.6468 37879 36384.1798 -0.4785 2.3237 11.448 13.638 14.99 16.36 30132.8 35842.6 39325.2 41767 0.1013 0.1576 59.4141 21.26 1.3 4.7083 14.735 13.2064 1790 -0.9906 2.8121 50658 21451 6832.6578 39943 37296.997 -0.8108 2.4407 7.956 14.098 15.484 16.842 29476.8 38656.2 40850 42654.2 0.6363 0.657 23.5084 21.26 1.3 4.9375 13.23 11.613 3960 -0.6901 2.2234 50658 21451 6556.6392 34820 34289.2119 -0.0801 1.9361 5.682 12.272 13.96 15.76 27537.2 32334.4 37005 40675 0.3101 0.3944 884 8.9373 4.7951 30.761 907.4 373.2 101.477 570.8795 1216.8 717.4 95.1967 901.6253 1380 1043.8 62.4491 1183.0413 2701.6 1147.2 323.7623 1892.039
9576 14.17 2.09 2.0111 9.88 9.7795 1670 -0.4559 3.4429 46901 21036 5990.7616 37988 36218.9154 -0.6312 2.3731 8.068 9.37 10.372 11.52 30735 35716 39193.4 41658 0.3275 0.3329 70.1875 14.17 2.7 1.7506 11.35 11.1112 1630 -1.1142 5.6316 46901 22544 5609.4365 41614 39689.7351 -1.6214 4.7795 9.828 10.922 11.784 12.552 37739.2 40819.2 42138.6 43410.2 0.8865 0.8871 11.5625 14.17 2.03 2.0636 9.48 9.3982 3046 -0.4234 3.4981 46901 20556 6362.9284 35279 34534.6788 -0.3057 1.9561 7.768 8.966 9.944 11.14 28149.2 33007 37617 40697 0.4747 0.481 438 8.3589 1.8148 27.3125 935.8 416.2 101.0558 653.0502 1229.4 737.4 96.9808 982.6684 1406.4 1063 65.4357 1226.8296 3009.4 1145.6 345.1925 2172.2285
9607 19.05 1.3 3.8709 13.29 12.4407 1652 -1.003 3.4637 48779 21517 6281.2506 37420 36143.3848 -0.473 2.2416 9.73 12.534 14.086 15.61 29840 35607 39246.2 41636 0.2597 0.2942 62.0984 18.87 1.34 3.7553 14.53 13.3786 1630 -1.2732 3.99 48386 21779 6699.5035 39779 37282.6592 -0.7473 2.438 10.598 14.096 15.182 16.018 30779 38302.8 40675 42688.6 0.7571 0.762 20.1807 19.05 1.3 4.165 12.415 11.4977 3256 -0.7497 2.7436 48779 20993 6463.5713 34930 34475.4513 -0.1814 1.9959 8.082 11.44 13.34 15.09 28114 32841.4 37070 40653 0.4026 0.442 602 9.5099 4.0779 29.1165 878 351.6 111.1154 559.6217 1154.8 655.8 107.8698 878.7384 1333 1011.2 65.6035 1151.3814 3172.8 973.6 427.9975 1809.3001
10139 16.3 1.34 2.4188 11.37 11.1182 1780 -1.0439 4.9537 50549 20665 6498.343 40719 39057.4168 -0.7952 2.7921 9.52 10.87 11.86 13.08 33335 38993 42117 44629 0.2185 0.2253 63.4798 16.3 1.31 2.8551 11.31 10.711 1771 -1.028 3.9122 50549 21692 7582.8199 42095 39095.7654 -0.7826 2.3296 8.716 10.75 11.74 13.024 30871 39888 43344.4 45542 0.6392 0.6471 29.3611 16.3 1.31 2.7176 10.72 10.3472 3351 -0.9136 4.0935 50549 20665 6975.5798 38403 37024.7807 -0.4103 2.1273 8.57 10.1 11.26 12.57 30080 35943.4 40185.2 43515 0.3512 0.365 520 8.9081 2.5489 23.0177 806.4 423.8 76.6415 600.9638 1199.4 778.6 80.0463 952.9586 1388.7 1159.3 42.9938 1264.444 4433.9 1665.8 490.3819 2635.2136
10140 5.21 1.3 0.8306 2.41 2.5679 690 0.6557 2.8427 49588 22238 6910.6016 41461 39522.8393 -0.8306 2.6952 1.86 2.206 2.674 3.24 33601.8 39517.4 43173.8 45485.4 0.6812 0.9725 85.9155 5.21 1.3 0.9072 2.195 2.4408 684 0.8917 3.2027 49588 24007 4574.6192 45196.5 44034.3729 -2.1273 7.8601 1.624 2.036 2.562 3.152 42554 44593.8 45931 47001.6 0.8947 0.9868 33.2394 5.21 1.3 0.8092 2.35 2.5103 951 0.7228 3.0319 49588 22238 6840.9224 40959 39072.1521 -0.6999 2.4911 1.776 2.182 2.612 3.152 32531.4 38547.2 42435.8 45139.8 0.7382 0.98 33 2.1457 0.4805 7.8873 883.4 401.6 115.2234 608.5456 1288.7 742.4 134.1382 984.6944 1358.6 1122 57.1136 1239.6072 3748.1 1310.5 592.6016 2462.8656
10141 15.75 1.36 2.0715 9.44 9.3492 1737 -0.5468 4.6719 51925 20425 7032.9852 42859 40669.5345 -0.9481 2.9705 7.988 9 9.87 10.912 34833.4 41155 44353.8 46508 0.0489 0.0593 64.1866 15.75 1.37 2.3838 9.67 9.324 1739 -0.9209 4.4468 51925 21320 7565.3318 44694 41706.2179 -1.1861 3.1706 7.852 9.26 9.98 11.056 35222.6 43632.8 45524 47333.6 0.4738 0.4928 35.7363 15.75 1.3 2.6239 8.68 8.355 3425 -0.5583 3.2508 51925 20272 7798.8604 39266 37844.9225 -0.3943 1.9808 6.44 8.11 9.25 10.36 29656.2 36350 41636 45350 0.2622 0.3057 643 6.1979 2.474 24.3254 778.8 422.4 70.0282 569.444 1180.8 760.1 83.0265 941.2584 1336.6 1138.8 38.0163 1229.8068 4387.2 1823.1 512.7269 2803.9856
10142 5.19 1.3 0.8278 2.38 2.5234 1717 0.7177 2.9942 51248 21932 6530.8167 40139.5 38360.8508 -0.6999 2.509 1.79 2.136 2.644 3.172 31976.6 38035.8 41675.6 44039 0.7513 0.9785 86.5385 5.19 1.32 0.8258 2.695 2.7139 1712 0.4725 2.8822 51248 21648 5254.0352 43722 42278.6836 -2.1493 7.8143 1.96 2.45 2.9 3.42 40740 43143 44105 45415 0.8838 0.9907 35.1648 5.19 1.3 0.8188 2.29 2.4702 2260 0.7613 3.0465 51248 21648 6670.2145 39637 37856.5536 -0.6263 2.3861 1.724 2.08 2.592 3.14 31430.2 37551 41273.6 43903.6 0.792 0.9836 69 1.9776 0.6265 6.1813 925.9 561.4 65.1825 733.7084 1309.6 933 67.7389 1122.8583 1378.1 1205.2 31.5311 1285.3567 3623.2 2073.5 254.6411 2981.1484
